date,is_festive_season,festival_name,harvest_season_type
2019_09_20,1,None,Kharif Harvest
2019_09_21,1,None,Kharif Harvest
2019_09_22,1,None,Kharif Harvest
2019_09_23,1,None,Kharif Harvest
2019_09_24,1,None,Kharif Harvest
2019_09_25,1,None,Kharif Harvest
2019_09_26,1,None,Kharif Harvest
2019_09_27,1,None,Kharif Harvest
2019_09_28,1,None,Kharif Harvest
2019_09_29,1,None,Kharif Harvest
2019_09_30,1,None,Kharif Harvest
2019_10_01,1,None,Kharif Harvest
2019_10_02,1,Mahatma Gandhi's Jayanti,Kharif Harvest
2019_10_03,1,None,Kharif Harvest
2019_10_04,1,None,Kharif Harvest
2019_10_05,1,None,Kharif Harvest
2019_10_06,1,None,Kharif Harvest
2019_10_07,1,None,Kharif Harvest
2019_10_08,1,Dussehra,Kharif Harvest
2019_10_09,1,None,Kharif Harvest
2019_10_10,1,None,Kharif Harvest
2019_10_11,1,None,Kharif Harvest
2019_10_12,1,None,Kharif Harvest
2019_10_13,1,None,Kharif Harvest
2019_10_14,1,None,Kharif Harvest
2019_10_15,1,None,Kharif Harvest
2019_10_16,1,None,Kharif Harvest
2019_10_17,1,None,Kharif Harvest
2019_10_18,1,None,Kharif Harvest
2019_10_19,1,None,Kharif Harvest
2019_10_20,1,None,Kharif Harvest
2019_10_21,1,None,Kharif Harvest
2019_10_22,1,None,Kharif Harvest
2019_10_23,1,None,Kharif Harvest
2019_10_24,1,None,Kharif Harvest
2019_10_25,1,None,Kharif Harvest
2019_10_26,1,None,Kharif Harvest
2019_10_27,1,Diwali (Deepavali),Kharif Harvest
2019_10_28,1,None,Kharif Harvest
2019_10_29,1,None,Kharif Harvest
2019_10_30,1,None,Kharif Harvest
2019_10_31,1,None,Kharif Harvest
2019_11_01,1,None,Kharif Harvest
2019_11_02,1,None,Kharif Harvest
2019_11_03,1,None,Kharif Harvest
2019_11_04,1,None,Kharif Harvest
2019_11_05,1,None,Kharif Harvest
2019_11_06,1,None,Kharif Harvest
2019_11_07,1,None,Kharif Harvest
2019_11_08,1,None,Kharif Harvest
2019_11_09,1,None,Kharif Harvest
2019_11_10,1,Milad-un-Nabi,Kharif Harvest
2019_11_11,1,None,Kharif Harvest
2019_11_12,1,Guru Nanak's Jayanti,Kharif Harvest
2019_11_13,1,None,Kharif Harvest
2019_11_14,1,None,Kharif Harvest
2019_11_15,1,None,Kharif Harvest
2019_11_16,1,None,Kharif Harvest
2019_11_17,1,None,Kharif Harvest
2019_11_18,1,None,Kharif Harvest
2019_11_19,1,None,Kharif Harvest
2019_11_20,1,None,Kharif Harvest
2019_11_21,1,None,Kharif Harvest
2019_11_22,1,None,Kharif Harvest
2019_11_23,1,None,Kharif Harvest
2019_11_24,1,None,Kharif Harvest
2019_11_25,1,None,Kharif Harvest
2019_11_26,1,None,Kharif Harvest
2019_11_27,1,None,Kharif Harvest
2019_11_28,1,None,Kharif Harvest
2019_11_29,1,None,Kharif Harvest
2019_11_30,1,None,Kharif Harvest
2019_12_01,0,None,Zaid Lean Season
2019_12_02,0,None,Zaid Lean Season
2019_12_03,0,None,Zaid Lean Season
2019_12_04,0,None,Zaid Lean Season
